Organisation Name,Address 1,Address 2,Address 3,Address 4,City,County,Post Code,Country,Website,Constitution,Sector,Type
Alfred Corry Museum,Ferry Road,,,,Southwold,Suffolk,IP18 6NG,England,,Charity & Trusts,Museum,Independent
Robin Hood's Bay & Fylingdales Museum,Fisherhead,Robin Hood's Bay,,,Whitby,Yorkshire,YO22 4TQ,England,http://museum.rhbay.co.uk,Charity & Trusts,Museum,Independent
Wallingford Museum,Flint House,High Street,,,Wallingford,Oxfordshire,OX10 0DB,England,http://www.wallingfordmuseum.org.uk/,Charity & Trusts,Museum,Independent
Plymouth Naval Base Museum,Flotilla House,HMS Drake,HM Naval Base,,"Devonport, Plymouth",Devon,PL20 7PS,England,www.ukmcs.org.uk/members/member_plymoth_naval_base_museum.htm,Charity & Trusts,Museum,Independent
Heatherslaw Corn Mill,Ford & Etal Estates,The Estate Office,Ford Village,,Cornhill-on-Tweed,Northumberland,TD12 4TJ,England,,Charity & Trusts,Museum,Independent
"National Trust, Old Post Office, Tintagel",Fore Street,,,,Tintagel,Cornwall,PL34 0DB,England,,Charity & Trusts,Museum,Independent
Woodhall Spa Cottage Museum,Forest Lodge,Kirkby Lane,,,Woodhall Spa,Lincolnshire,LN10 6YY,England,www.woodhallspa-museum.co.uk/,Charity & Trusts,Museum,Independent
WFR Museum (Sherwood Foresters Collection) of the Mercian Regiment,Foresters House,Chetwynd Barracks,Chilwell,,Nottingham,Nottinghamshire,NG9 5HA,England,www.wfrmuseum.org.uk/nottm-collection.htm,Charity & Trusts,Museum,Independent
Merchant Adventurer's Hall,Fossgate,,,,York,Yorkshire,YO1 9XD,England,,Charity & Trusts,Museum,Independent
Litcham Village Museum,Fourways,Mileham Road,,,Litcham,Norfolk,PE32 2NZ,England,,Charity & Trusts,Museum,Independent
"National Trust, Upton House",Foxbury,Upton,,,Banbury,Oxfordshire,OX15 6HT,England,www.nationaltrust.org.uk/main/w-uptonhouse,Charity & Trusts,Museum,Independent
Hinckley & District Museum,Framework Knitters' Cottages,Lower Bond Street,,,Hinckley,Leicestershire,LE10 1QX,England,,Charity & Trusts,Museum,Independent
Lanman Museum,Framlingham Castle,,,,Framlingham,Suffolk,IP13 9ER,England,,Charity & Trusts,Museum,Independent
British Postal Museum & Archive,Freeling House,Phoenix Place,,,London,Greater London,WC1X 0DL,England,,Charity & Trusts,Museum,Independent
The Greyfriars,Friar Street,,,,Worcester,Worcestershire,WR1 2LZ,England,www.nationaltrust.org.uk/main/w-thegreyfriars,Charity & Trusts,Museum,Independent
Quaker Tapestry at Kendal,Friends Meeting House,Stramongate,,,Kendal,Cumbria,LA9 4BH,England,,Charity & Trusts,Museum,Independent
Walton Maritime Museum,Frinton & Walton Heritage Trust,c/o Dilmoon House,Vicarage Lane,,Thorpe-le-Soken,Essex,CO16 0EH,England,,Charity & Trusts,Museum,Independent
